CH	UCODE	JP	INIT	FINL	TONE	ORDR
坔	U+5754	dei6	d	ei	6	1000
坕	U+5755	ging1	g	ing	1	1000
坖	U+5756	gei6	g	ei	6	1000
块	U+5757	faai3	f	aai	3	1000
坘	U+5758	ci4	c	i	4	1000
坙	U+5759	ging1	g	ing	1	1000
坚	U+575A	gin1	g	in	1	1000
坛	U+575B	taan4	t	aan	4	1000
坛	U+575B	taam4	t	aam	4	999
坜	U+575C	lek6	l	ek	6	1000
坜	U+575C	lik6	l	ik	6	999
坝	U+575D	baa3	b	aa	3	1000
坞	U+575E	wu2	w	u	2	1000
坞	U+575E	ou3		ou	3	999
坞	U+575E	ngou3	ng	ou	3	998
坟	U+575F	fan4	f	an	4	1000
坠	U+5760	zeoi6	z	eoi	6	1000
坡	U+5761	po1	p	o	1	1000
坡	U+5761	bo1	b	o	1	999
坢	U+5762	bun3	b	un	3	1000
坣	U+5763	tong4	t	ong	4	1000
坤	U+5764	kwan1	kw	an	1	1000
坥	U+5765	ceoi1	c	eoi	1	1000
坦	U+5766	taan2	t	aan	2	1000
坧	U+5767	zek3	z	ek	3	1000
坨	U+5768	to4	t	o	4	1000
坩	U+5769	ham1	h	am	1	1000
坩	U+5769	kim4	k	im	4	999
坪	U+576A	ping4	p	ing	4	1000
坫	U+576B	dim3	d	im	3	1000
坬	U+576C	gwaa3	gw	aa	3	1000
坭	U+576D	nai4	n	ai	4	1000
坭	U+576D	lai4	l	ai	4	999
坭	U+576D	nai2	n	ai	2	998
坭	U+576D	lai2	l	ai	2	997
坮	U+576E	toi4	t	oi	4	1000
坯	U+576F	pui1	p	ui	1	1000
坰	U+5770	gwing1	gw	ing	1	1000
坱	U+5771	joeng2	j	oeng	2	1000
坱	U+5771	joeng5	j	oeng	5	999
坲	U+5772	fat6	f	at	6	1000
坳	U+5773	aau3		aau	3	1000
坳	U+5773	ngaau3	ng	aau	3	999
坳	U+5773	aau1		aau	1	998
坳	U+5773	ngaau1	ng	aau	1	997
坴	U+5774	luk6	l	uk	6	1000
坵	U+5775	jau1	j	au	1	1000
坶	U+5776	muk6	m	uk	6	1000
坷	U+5777	ho2	h	o	2	1000
坷	U+5777	ho1	h	o	1	999
坸	U+5778	gau3	g	au	3	1000
坹	U+5779	jyut6	j	yut	6	1000
坺	U+577A	paat6	p	aat	6	1000
坺	U+577A	baat6	b	aat	6	999
坻	U+577B	ci4	c	i	4	1000
坻	U+577B	dai2	d	ai	2	999
坻	U+577B	zi2	z	i	2	998
坼	U+577C	caak3	c	aak	3	1000
坽	U+577D	ling4	l	ing	4	1000
坾	U+577E	cyu5	c	yu	5	1000
坿	U+577F	fu6	f	u	6	1000
垀	U+5780	fu1	f	u	1	1000
垁	U+5781	zi6	z	i	6	1000
垂	U+5782	seoi4	s	eoi	4	1000
垃	U+5783	laap6	l	aap	6	1000
垃	U+5783	laai1	l	aai	1	999
垃	U+5783	laa1	l	aa	1	998
垄	U+5784	lung5	l	ung	5	1000
垅	U+5785	lung5	l	ung	5	1000
垆	U+5786	lou4	l	ou	4	1000
垇	U+5787	aau3		aau	3	1000
垇	U+5787	ngaau3	ng	aau	3	999
垇	U+5787	aau1		aau	1	998
垇	U+5787	ngaau1	ng	aau	1	997
垈	U+5788	doi6	d	oi	6	1000
垉	U+5789	paau4	p	aau	4	1000
垊	U+578A	man4	m	an	4	1000
型	U+578B	jing4	j	ing	4	1000
垌	U+578C	dung6	d	ung	6	1000
垌	U+578C	tung4	t	ung	4	999
垍	U+578D	gei6	g	ei	6	1000
垍	U+578D	gei3	g	ei	3	999
垎	U+578E	haak6	h	aak	6	1000
垏	U+578F	leot6	l	eot	6	1000
垐	U+5790	ci4	c	i	4	1000
垑	U+5791	ci2	c	i	2	1000
垒	U+5792	leoi5	l	eoi	5	1000
垒	U+5792	leoi6	l	eoi	6	999
垒	U+5792	leoi4	l	eoi	4	998
垒	U+5792	leot6	l	eot	6	997
垓	U+5793	goi1	g	oi	1	1000
垔	U+5794	jan1	j	an	1	1000
垕	U+5795	hau6	h	au	6	1000
垕	U+5795	hau5	h	au	5	999
垖	U+5796	deoi1	d	eoi	1	1000
垗	U+5797	ziu6	z	iu	6	1000
垘	U+5798	baak6	b	aak	6	1000
垙	U+5799	gwong1	gw	ong	1	1000
垙	U+5799	gong1	g	ong	1	999
垚	U+579A	jiu4	j	iu	4	1000
垛	U+579B	do2	d	o	2	1000
垜	U+579C	do2	d	o	2	1000
垝	U+579D	gwai2	gw	ai	2	1000
垞	U+579E	caa4	c	aa	4	1000
垟	U+579F	joeng4	j	oeng	4	1000
垠	U+57A0	ngan4	ng	an	4	1000
垠	U+57A0	an4		an	4	999
垡	U+57A1	fat6	f	at	6	1000
垢	U+57A2	gau3	g	au	3	1000
垢	U+57A2	hau4	h	au	4	999
垣	U+57A3	wun4	w	un	4	1000
垤	U+57A4	dit6	d	it	6	1000
垥	U+57A5	hip3	h	ip	3	1000
垦	U+57A6	han2	h	an	2	1000
垧	U+57A7	hoeng2	h	oeng	2	1000
垨	U+57A8	sau2	s	au	2	1000
垩	U+57A9	ok3		ok	3	1000
垩	U+57A9	ngok3	ng	ok	3	999
垪	U+57AA	bing6	b	ing	6	1000
垫	U+57AB	dim3	d	im	3	1000
垫	U+57AB	din3	d	in	3	999
垫	U+57AB	zin3	z	in	3	998
垫	U+57AB	zin2	z	in	2	997
垫	U+57AB	din2	d	in	2	996
垫	U+57AB	din6	d	in	6	995
垫	U+57AB	dip6	d	ip	6	994
垬	U+57AC	hung4	h	ung	4	1000
垭	U+57AD	aa3		aa	3	1000
垭	U+57AD	ngaa3	ng	aa	3	999
垮	U+57AE	kwaa1	kw	aa	1	1000
垯	U+57AF	daat3	d	aat	3	1000
垯	U+57AF	daat6	d	aat	6	999
垰	U+57B0	lung6	l	ung	6	1000
垱	U+57B1	dong3	d	ong	3	1000
垱	U+57B1	dong2	d	ong	2	999
垲	U+57B2	hoi2	h	oi	2	1000
垳	U+57B3	hang4	h	ang	4	1000
垴	U+57B4	nou5	n	ou	5	1000
垴	U+57B4	lou5	l	ou	5	999
垵	U+57B5	am2		am	2	1000
垵	U+57B5	ngam2	ng	am	2	999
垶	U+57B6	sing1	s	ing	1	1000
垷	U+57B7	jin6	j	in	6	1000
垸	U+57B8	jyun6	j	yun	6	1000
垸	U+57B8	wun2	w	un	2	999
垹	U+57B9	bong1	b	ong	1	1000
垺	U+57BA	pau4	p	au	4	1000
垺	U+57BA	fu1	f	u	1	999
垻	U+57BB	bui3	b	ui	3	1000
垻	U+57BB	baa3	b	aa	3	999
垼	U+57BC	jik6	j	ik	6	1000
垽	U+57BD	ngan6	ng	an	6	1000
垽	U+57BD	an6		an	6	999
垾	U+57BE	hon6	h	on	6	1000
垿	U+57BF	zeoi6	z	eoi	6	1000
埀	U+57C0	seoi4	s	eoi	4	1000
埁	U+57C1	cam4	c	am	4	1000
埂	U+57C2	gang2	g	ang	2	1000
埃	U+57C3	oi1		oi	1	1000
埃	U+57C3	ngoi1	ng	oi	1	999
埃	U+57C3	aai1		aai	1	998
埃	U+57C3	ngaai1	ng	aai	1	997
埄	U+57C4	bung6	b	ung	6	1000
埅	U+57C5	fong4	f	ong	4	1000
埆	U+57C6	kok3	k	ok	3	1000
埆	U+57C6	gok3	g	ok	3	999
埇	U+57C7	jung2	j	ung	2	1000
埇	U+57C7	cung1	c	ung	1	999
埈	U+57C8	seon3	s	eon	3	1000
埉	U+57C9	gaap3	g	aap	3	1000
埊	U+57CA	dei6	d	ei	6	1000
埊	U+57CA	deng6	d	eng	6	999
埋	U+57CB	maai4	m	aai	4	1000
埌	U+57CC	long6	l	ong	6	1000
埍	U+57CD	gyun2	g	yun	2	1000
城	U+57CE	sing4	s	ing	4	1000
城	U+57CE	seng2	s	eng	2	999
城	U+57CE	sing2	s	ing	2	998
城	U+57CE	seng4	s	eng	4	997
埏	U+57CF	jin4	j	in	4	1000
埏	U+57CF	sin1	s	in	1	999
埏	U+57CF	saan1	s	aan	1	998
埐	U+57D0	zam1	z	am	1	1000
埑	U+57D1	zit3	z	it	3	1000
埒	U+57D2	lyut3	l	yut	3	1000
埓	U+57D3	lyut3	l	yut	3	1000
埔	U+57D4	bou3	b	ou	3	1000
埔	U+57D4	pou2	p	ou	2	999
埕	U+57D5	cing4	c	ing	4	1000
埖	U+57D6	faa1	f	aa	1	1000
埗	U+57D7	bou6	b	ou	6	1000
埗	U+57D7	bou2	b	ou	2	999
埘	U+57D8	si4	s	i	4	1000
埙	U+57D9	hyun1	h	yun	1	1000
埙	U+57D9	fan1	f	an	1	999
埚	U+57DA	wo1	w	o	1	1000
埛	U+57DB	gwing1	gw	ing	1	1000
埜	U+57DC	je5	j	e	5	1000
埝	U+57DD	nim6	n	im	6	1000
埝	U+57DD	lim6	l	im	6	999
埝	U+57DD	nap1	n	ap	1	998
埝	U+57DD	lap1	l	ap	1	997
埞	U+57DE	deng6	d	eng	6	1000
域	U+57DF	wik6	w	ik	6	1000
埠	U+57E0	bou6	b	ou	6	1000
埠	U+57E0	fau6	f	au	6	999
埠	U+57E0	fau2	f	au	2	998
埡	U+57E1	aa3		aa	3	1000
埡	U+57E1	ngaa3	ng	aa	3	999
埢	U+57E2	gyun3	g	yun	3	1000
埣	U+57E3	seoi3	s	eoi	3	1000
埤	U+57E4	pei4	p	ei	4	1000
埤	U+57E4	bei1	b	ei	1	999
埤	U+57E4	bei3	b	ei	3	998
埤	U+57E4	bai3	b	ai	3	997
埥	U+57E5	cing1	c	ing	1	1000
埦	U+57E6	wun2	w	un	2	1000
埧	U+57E7	geoi6	g	eoi	6	1000
埨	U+57E8	leon4	l	eon	4	1000
埩	U+57E9	zang1	z	ang	1	1000
埪	U+57EA	hung1	h	ung	1	1000
埫	U+57EB	cung2	c	ung	2	1000
埬	U+57EC	dung1	d	ung	1	1000
埭	U+57ED	dai6	d	ai	6	1000
埭	U+57ED	doi6	d	oi	6	999
埮	U+57EE	taam3	t	aam	3	1000
埯	U+57EF	am2		am	2	1000
埯	U+57EF	ngam2	ng	am	2	999
埰	U+57F0	coi3	c	oi	3	1000
埱	U+57F1	cuk1	c	uk	1	1000
埲	U+57F2	bung6	b	ung	6	1000
埲	U+57F2	bong6	b	ong	6	999
埲	U+57F2	pung1	p	ung	1	998
埳	U+57F3	ham2	h	am	2	1000
埳	U+57F3	ham1	h	am	1	999
埳	U+57F3	ham3	h	am	3	998
埴	U+57F4	zik6	z	ik	6	1000
埵	U+57F5	do2	d	o	2	1000
埵	U+57F5	do3	d	o	3	999
埶	U+57F6	ngai6	ng	ai	6	1000
埶	U+57F6	ai6		ai	6	999
埶	U+57F6	sai3	s	ai	3	998
執	U+57F7	zap1	z	ap	1	1000
埸	U+57F8	jik6	j	ik	6	1000
培	U+57F9	pui4	p	ui	4	1000
培	U+57F9	pau2	p	au	2	999
基	U+57FA	gei1	g	ei	1	1000
埻	U+57FB	zeon2	z	eon	2	1000
埻	U+57FB	deoi1	d	eoi	1	999
埼	U+57FC	kei4	k	ei	4	1000
埽	U+57FD	sou3	s	ou	3	1000
埽	U+57FD	sou2	s	ou	2	999
埾	U+57FE	zeoi6	z	eoi	6	1000
埿	U+57FF	nai4	n	ai	4	1000
埿	U+57FF	lai4	l	ai	4	999
埿	U+57FF	baan6	b	aan	6	998
堀	U+5800	fat1	f	at	1	1000
堀	U+5800	gwat6	gw	at	6	999
堁	U+5801	fo3	f	o	3	1000
堁	U+5801	fo2	f	o	2	999
堂	U+5802	tong4	t	ong	4	1000
堂	U+5802	tong2	t	ong	2	999
堃	U+5803	kwan1	kw	an	1	1000
堄	U+5804	ngai6	ng	ai	6	1000
堄	U+5804	ai6		ai	6	999
堅	U+5805	gin1	g	in	1	1000
堆	U+5806	deoi1	d	eoi	1	1000
堇	U+5807	gan2	g	an	2	1000
堇	U+5807	kan4	k	an	4	999
堇	U+5807	gan6	g	an	6	998
堈	U+5808	gong1	g	ong	1	1000
堉	U+5809	juk6	j	uk	6	1000
堊	U+580A	ok3		ok	3	1000
堊	U+580A	ngok3	ng	ok	3	999
堋	U+580B	pang4	p	ang	4	1000
堋	U+580B	bang6	b	ang	6	999
堋	U+580B	bang1	b	ang	1	998
堌	U+580C	gu3	g	u	3	1000
堌	U+580C	gwu3	gw	u	3	999
堍	U+580D	tou3	t	ou	3	1000
堎	U+580E	ling4	l	ing	4	1000
堏	U+580F	fong4	f	ong	4	1000
堐	U+5810	ngaai4	ng	aai	4	1000
堐	U+5810	aai4		aai	4	999
堑	U+5811	cim3	c	im	3	1000
堒	U+5812	kwan1	kw	an	1	1000
堓	U+5813	ngon6	ng	on	6	1000
堓	U+5813	on6		on	6	999
堔	U+5814	sam1	s	am	1	1000
堕	U+5815	do6	d	o	6	1000
堕	U+5815	fai1	f	ai	1	999
堖	U+5816	nou5	n	ou	5	1000
堖	U+5816	lou5	l	ou	5	999
堗	U+5817	dat6	d	at	6	1000
堘	U+5818	sing4	s	ing	4	1000
堙	U+5819	jan1	j	an	1	1000
堚	U+581A	waan4	w	aan	4	1000
堛	U+581B	pik1	p	ik	1	1000
堜	U+581C	lin6	l	in	6	1000
堝	U+581D	wo1	w	o	1	1000
堞	U+581E	dip6	d	ip	6	1000
堟	U+581F	zyun6	z	yun	6	1000
堠	U+5820	hau6	h	au	6	1000
堡	U+5821	bou2	b	ou	2	1000
堡	U+5821	pou3	p	ou	3	999
堢	U+5822	bou2	b	ou	2	1000
堣	U+5823	jyu4	j	yu	4	1000
堤	U+5824	tai4	t	ai	4	1000
堥	U+5825	mou4	m	ou	4	1000
堦	U+5826	gaai1	g	aai	1	1000
堧	U+5827	jyun4	j	yun	4	1000
堨	U+5828	aat3		aat	3	1000
堨	U+5828	ngaat3	ng	aat	3	999
堨	U+5828	oi2		oi	2	998
堨	U+5828	ngoi2	ng	oi	2	997
堩	U+5829	gang2	g	ang	2	1000
堪	U+582A	ham1	h	am	1	1000
堫	U+582B	zung1	z	ung	1	1000
堬	U+582C	jyu4	j	yu	4	1000
堭	U+582D	wong4	w	ong	4	1000
堮	U+582E	ngok6	ng	ok	6	1000
堮	U+582E	ok6		ok	6	999
堯	U+582F	jiu4	j	iu	4	1000
堰	U+5830	jin2	j	in	2	1000
報	U+5831	bou3	b	ou	3	1000
堲	U+5832	zik1	z	ik	1	1000
堳	U+5833	mei4	m	ei	4	1000
場	U+5834	coeng4	c	oeng	4	1000
場	U+5834	coeng2	c	oeng	2	999
堵	U+5835	dou2	d	ou	2	1000
堵	U+5835	ze2	z	e	2	999
堶	U+5836	to4	t	o	4	1000
堷	U+5837	jam3	j	am	3	1000
堸	U+5838	fung4	f	ung	4	1000
堹	U+5839	zung3	z	ung	3	1000
堺	U+583A	gaai3	g	aai	3	1000
堻	U+583B	zeon1	z	eon	1	1000
堼	U+583C	hang6	h	ang	6	1000
堽	U+583D	gong1	g	ong	1	1000
堾	U+583E	ceon1	c	eon	1	1000
堾	U+583E	ceon2	c	eon	2	999
堾	U+583E	cyun2	c	yun	2	998
堿	U+583F	haam4	h	aam	4	1000
堿	U+583F	ham3	h	am	3	999
堿	U+583F	gaan2	g	aan	2	998
塀	U+5840	ping4	p	ing	4	1000
塁	U+5841	leoi5	l	eoi	5	1000
塂	U+5842	hong4	h	ong	4	1000
塃	U+5843	fong1	f	ong	1	1000
塄	U+5844	ling4	l	ing	4	1000
塅	U+5845	dyun6	d	yun	6	1000
塆	U+5846	waan1	w	aan	1	1000
塇	U+5847	syun1	s	yun	1	1000
塈	U+5848	hei3	h	ei	3	1000
塈	U+5848	kei3	k	ei	3	999
塈	U+5848	gei3	g	ei	3	998
塉	U+5849	zik6	z	ik	6	1000
塊	U+584A	faai3	f	aai	3	1000
塋	U+584B	jing4	j	ing	4	1000
塌	U+584C	taap3	t	aap	3	1000
塌	U+584C	dap1	d	ap	1	999
塍	U+584D	sing4	s	ing	4	1000
塎	U+584E	jung5	j	ung	5	1000
塏	U+584F	hoi2	h	oi	2	1000
塐	U+5850	sou3	s	ou	3	1000
塑	U+5851	sou3	s	ou	3	1000
塑	U+5851	sok3	s	ok	3	999
塒	U+5852	si4	s	i	4	1000
塓	U+5853	mik6	m	ik	6	1000
塔	U+5854	taap3	t	aap	3	1000
塔	U+5854	taap2	t	aap	2	999
塕	U+5855	jung2	j	ung	2	1000
塖	U+5856	sing4	s	ing	4	1000
塗	U+5857	tou4	t	ou	4	1000
塘	U+5858	tong4	t	ong	4	1000
塙	U+5859	kok3	k	ok	3	1000
塚	U+585A	cung2	c	ung	2	1000
塛	U+585B	leot6	l	eot	6	1000
塜	U+585C	bung6	b	ung	6	1000
塝	U+585D	bong6	b	ong	6	1000
塞	U+585E	sak1	s	ak	1	1000
塞	U+585E	coi3	c	oi	3	999
塟	U+585F	zong3	z	ong	3	1000
塠	U+5860	deoi1	d	eoi	1	1000
塡	U+5861	tin4	t	in	4	1000
塢	U+5862	wu2	w	u	2	1000
塢	U+5862	ou3		ou	3	999
塢	U+5862	ngou3	ng	ou	3	998
塣	U+5863	zing6	z	ing	6	1000
塤	U+5864	hyun1	h	yun	1	1000
塤	U+5864	fan1	f	an	1	999
塥	U+5865	gaak3	g	aak	3	1000
塦	U+5866	zan6	z	an	6	1000
塧	U+5867	aai3		aai	3	1000
塧	U+5867	ngaai3	ng	aai	3	999
塨	U+5868	gung1	g	ung	1	1000
塩	U+5869	jim4	j	im	4	1000
塪	U+586A	ham2	h	am	2	1000
填	U+586B	tin4	t	in	4	1000
塬	U+586C	jyun4	j	yun	4	1000
塭	U+586D	wan1	w	an	1	1000
塮	U+586E	ze6	z	e	6	1000
塯	U+586F	lau6	l	au	6	1000
塰	U+5870	hoi2	h	oi	2	1000
塱	U+5871	long5	l	ong	5	1000
塲	U+5872	coeng4	c	oeng	4	1000
塳	U+5873	bung6	b	ung	6	1000
塳	U+5873	pung1	p	ung	1	999
塴	U+5874	bang6	b	ang	6	1000
塴	U+5874	bang1	b	ang	1	999
塵	U+5875	can4	c	an	4	1000
塶	U+5876	luk6	l	uk	6	1000
塷	U+5877	lou5	l	ou	5	1000
塸	U+5878	au2		au	2	1000
塸	U+5878	ngau2	ng	au	2	999
塹	U+5879	cim3	c	im	3	1000
塺	U+587A	mui4	m	ui	4	1000
塺	U+587A	mo6	m	o	6	999
塻	U+587B	mok6	m	ok	6	1000
塼	U+587C	zyun1	z	yun	1	1000
塽	U+587D	song2	s	ong	2	1000
塾	U+587E	suk6	s	uk	6	1000
塿	U+587F	lau5	l	au	5	1000
塿	U+587F	lau4	l	au	4	999
墀	U+5880	ci4	c	i	4	1000
墁	U+5881	maan6	m	aan	6	1000
墂	U+5882	biu1	b	iu	1	1000
境	U+5883	ging2	g	ing	2	1000
墄	U+5884	cak1	c	ak	1	1000
墅	U+5885	seoi6	s	eoi	6	1000
墅	U+5885	seoi5	s	eoi	5	999
墆	U+5886	dit6	d	it	6	1000
墆	U+5886	dai3	d	ai	3	999
墇	U+5887	zoeng3	z	oeng	3	1000
墈	U+5888	ham3	h	am	3	1000
墉	U+5889	jung4	j	ung	4	1000
墊	U+588A	dim3	d	im	3	1000
墊	U+588A	din3	d	in	3	999
墊	U+588A	zin3	z	in	3	998
墊	U+588A	zin2	z	in	2	997
墊	U+588A	din2	d	in	2	996
墊	U+588A	din6	d	in	6	995
墊	U+588A	dip6	d	ip	6	994
墋	U+588B	cam2	c	am	2	1000
墌	U+588C	zek3	z	ek	3	1000
墍	U+588D	hei3	h	ei	3	1000
墍	U+588D	kei3	k	ei	3	999
墍	U+588D	gei3	g	ei	3	998
墎	U+588E	gwok3	gw	ok	3	1000
墎	U+588E	gok3	g	ok	3	999
墏	U+588F	coeng2	c	oeng	2	1000
墐	U+5890	gan6	g	an	6	1000
墐	U+5890	gan2	g	an	2	999
墑	U+5891	dik1	d	ik	1	1000
墒	U+5892	soeng1	s	oeng	1	1000
墓	U+5893	mou6	m	ou	6	1000
墔	U+5894	ceoi4	c	eoi	4	1000
墕	U+5895	jin2	j	in	2	1000
墖	U+5896	taap3	t	aap	3	1000
増	U+5897	zang1	z	ang	1	1000
墘	U+5898	kin4	k	in	4	1000
墙	U+5899	coeng4	c	oeng	4	1000
墚	U+589A	loeng4	l	oeng	4	1000
墛	U+589B	wai3	w	ai	3	1000
墜	U+589C	zeoi6	z	eoi	6	1000
墝	U+589D	haau1	h	aau	1	1000
增	U+589E	zang1	z	ang	1	1000
增	U+589E	cang4	c	ang	4	999
墟	U+589F	heoi1	h	eoi	1	1000
墠	U+58A0	sin6	s	in	6	1000
墡	U+58A1	sin6	s	in	6	1000
墢	U+58A2	baat6	b	aat	6	1000
墣	U+58A3	pok3	p	ok	3	1000
墤	U+58A4	faai3	f	aai	3	1000
墥	U+58A5	dung2	d	ung	2	1000
墦	U+58A6	faan4	f	aan	4	1000
墧	U+58A7	kok3	k	ok	3	1000
墨	U+58A8	mak6	m	ak	6	1000
墩	U+58A9	deon1	d	eon	1	1000
墩	U+58A9	dan1	d	an	1	999
墩	U+58A9	dan2	d	an	2	998
墪	U+58AA	deon1	d	eon	1	1000
墪	U+58AA	dan1	d	an	1	999
墪	U+58AA	dan2	d	an	2	998
墫	U+58AB	deon1	d	eon	1	1000
墫	U+58AB	zeon1	z	eon	1	999
墫	U+58AB	cyun4	c	yun	4	998
墬	U+58AC	dei6	d	ei	6	1000
墬	U+58AC	deng6	d	eng	6	999
墭	U+58AD	sing6	s	ing	6	1000
墮	U+58AE	do6	d	o	6	1000
墮	U+58AE	fai1	f	ai	1	999
墯	U+58AF	do6	d	o	6	1000
墯	U+58AF	fai1	f	ai	1	999
墰	U+58B0	taam4	t	aam	4	1000
墱	U+58B1	dang3	d	ang	3	1000
墲	U+58B2	mou4	m	ou	4	1000
墳	U+58B3	fan4	f	an	4	1000
墴	U+58B4	wong4	w	ong	4	1000
墵	U+58B5	taam4	t	aam	4	1000
墶	U+58B6	daat3	d	aat	3	1000
墶	U+58B6	daat6	d	aat	6	999
墷	U+58B7	jip6	j	ip	6	1000
墸	U+58B8	zyu3	z	yu	3	1000
墹	U+58B9	gaan1	g	aan	1	1000
墺	U+58BA	ou3		ou	3	1000
墺	U+58BA	ngou3	ng	ou	3	999
墻	U+58BB	coeng4	c	oeng	4	1000
墼	U+58BC	gik1	g	ik	1	1000
墽	U+58BD	hiu1	h	iu	1	1000
墾	U+58BE	han2	h	an	2	1000
墿	U+58BF	jik6	j	ik	6	1000
壀	U+58C0	pei4	p	ei	4	1000
壁	U+58C1	bik1	b	ik	1	1000
壁	U+58C1	bek3	b	ek	3	999
壁	U+58C1	bik3	b	ik	3	998
壂	U+58C2	din6	d	in	6	1000
壃	U+58C3	goeng1	g	oeng	1	1000
壄	U+58C4	je5	j	e	5	1000
壅	U+58C5	jung1	j	ung	1	1000
壅	U+58C5	jung2	j	ung	2	999
壅	U+58C5	ung1		ung	1	998
壅	U+58C5	ngung1	ng	ung	1	997
壆	U+58C6	bok3	b	ok	3	1000
壇	U+58C7	taan4	t	aan	4	1000
壈	U+58C8	lam5	l	am	5	1000
壉	U+58C9	geoi6	g	eoi	6	1000
壊	U+58CA	waai6	w	aai	6	1000
壋	U+58CB	dong3	d	ong	3	1000
壋	U+58CB	dong2	d	ong	2	999
壌	U+58CC	joeng6	j	oeng	6	1000
壍	U+58CD	cim3	c	im	3	1000
壎	U+58CE	hyun1	h	yun	1	1000
壎	U+58CE	fan1	f	an	1	999
壏	U+58CF	haam5	h	aam	5	1000
壐	U+58D0	saai2	s	aai	2	1000
壑	U+58D1	kok3	k	ok	3	1000
壒	U+58D2	oi2		oi	2	1000
壒	U+58D2	ngoi2	ng	oi	2	999
壓	U+58D3	aat3		aat	3	1000
壓	U+58D3	ngaat3	ng	aat	3	999
壔	U+58D4	dou2	d	ou	2	1000
壕	U+58D5	hou4	h	ou	4	1000
壖	U+58D6	jyun4	j	yun	4	1000
壗	U+58D7	zeon6	z	eon	6	1000
壘	U+58D8	leoi5	l	eoi	5	1000
壘	U+58D8	leoi6	l	eoi	6	999
壘	U+58D8	leoi4	l	eoi	4	998
壘	U+58D8	leot6	l	eot	6	997
壙	U+58D9	kwong3	kw	ong	3	1000
壙	U+58D9	kong3	k	ong	3	999
壚	U+58DA	lou4	l	ou	4	1000
壛	U+58DB	jim4	j	im	4	1000
壛	U+58DB	sim4	s	im	4	999
壛	U+58DB	jam4	j	am	4	998
壜	U+58DC	taam4	t	aam	4	1000
壝	U+58DD	wai4	w	ai	4	1000
壝	U+58DD	wai5	w	ai	5	999
壝	U+58DD	wai2	w	ai	2	998
壞	U+58DE	waai6	w	aai	6	1000
壞	U+58DE	waai2	w	aai	2	999
壟	U+58DF	lung5	l	ung	5	1000
壠	U+58E0	lung5	l	ung	5	1000
壡	U+58E1	jeoi6	j	eoi	6	1000
壢	U+58E2	lek6	l	ek	6	1000
壢	U+58E2	lik6	l	ik	6	999
壣	U+58E3	leon4	l	eon	4	1000
壤	U+58E4	joeng6	j	oeng	6	1000
壥	U+58E5	cin4	c	in	4	1000
壦	U+58E6	hyun1	h	yun	1	1000
壧	U+58E7	ngaam4	ng	aam	4	1000
壧	U+58E7	aam4		aam	4	999
壨	U+58E8	leoi4	l	eoi	4	1000
壩	U+58E9	baa3	b	aa	3	1000
壪	U+58EA	waan1	w	aan	1	1000
士	U+58EB	si6	s	i	6	1000
士	U+58EB	si2	s	i	2	999
壬	U+58EC	jam4	j	am	4	1000
壭	U+58ED	si6	s	i	6	1000
壮	U+58EE	zong3	z	ong	3	1000
壮	U+58EE	zong1	z	ong	1	999
壯	U+58EF	zong3	z	ong	3	1000
壯	U+58EF	zong1	z	ong	1	999
声	U+58F0	sing1	s	ing	1	1000
声	U+58F0	seng1	s	eng	1	999
壱	U+58F1	jat1	j	at	1	1000
売	U+58F2	maai6	m	aai	6	1000
壳	U+58F3	hok3	h	ok	3	1000
壴	U+58F4	zyu3	z	yu	3	1000
壵	U+58F5	zong3	z	ong	3	1000
壶	U+58F6	wu4	w	u	4	1000
壶	U+58F6	wu2	w	u	2	999
壷	U+58F7	wu4	w	u	4	1000
壸	U+58F8	kwan2	kw	an	2	1000
壹	U+58F9	jat1	j	at	1	1000
壹	U+58F9	jik1	j	ik	1	999
壺	U+58FA	wu4	w	u	4	1000
壺	U+58FA	wu2	w	u	2	999
壻	U+58FB	sai3	s	ai	3	1000
壼	U+58FC	kwan2	kw	an	2	1000
壽	U+58FD	sau6	s	au	6	1000
壾	U+58FE	mong5	m	ong	5	1000
壿	U+58FF	cyun4	c	yun	4	1000
夀	U+5900	sau6	s	au	6	1000
夁	U+5901	jat1	j	at	1	1000
夂	U+5902	zi2	z	i	2	1000
夂	U+5902	zung1	z	ung	1	999
夂	U+5902	pit3 pong4 jau6	998
夃	U+5903	gu2	g	u	2	1000
夃	U+5903	gwu2	gw	u	2	999
处	U+5904	cyu5	c	yu	5	1000
处	U+5904	cyu2	c	yu	2	999
处	U+5904	cyu3	c	yu	3	998
处	U+5904	syu2	s	yu	2	997
处	U+5904	syu3	s	yu	3	996
夅	U+5905	gong3	g	ong	3	1000
夆	U+5906	fung1	f	ung	1	1000
备	U+5907	bei6	b	ei	6	1000
夈	U+5908	zaai1	z	aai	1	1000
変	U+5909	bin3	b	in	3	1000
夊	U+590A	seoi1	s	eoi	1	1000
夊	U+590A	pit3 soek3 jau6	999
夋	U+590B	ceon1	c	eon	1	1000
夌	U+590C	ling4	l	ing	4	1000
复	U+590D	fuk6	f	uk	6	1000
复	U+590D	fuk1	f	uk	1	999
复	U+590D	fau6	f	au	6	998
夎	U+590E	zo3	z	o	3	1000
夏	U+590F	haa6	h	aa	6	1000
夏	U+590F	gaa2	g	aa	2	999
夐	U+5910	hyun3	h	yun	3	1000
夑	U+5911	sit3	s	it	3	1000
